Country,complex_HH,complex_OTHPRIVENT,complex_PUB,complex_PRIV,time-expand,time-in-column_1
AUS,48.035935,13.705638333333333,38.258425,62.58793000000001,2.1424666666666665,52.618699750000005
AUT,2.8445451428571427,4.004074,93.15138142857143,6.848618571428572,1.7333333333333332,40.9531135
BEL,7.874430428571429,5.6318082857142855,85.41484666666666,11.893490416666666,1.8445000000000003,47.22831625
CAN,20.850393750000002,23.934192499999998,56.41007499999999,43.434059999999995,1.9182166666666667,62.50571925
CHL,58.18537571428572,7.245439285714286,26.901206428571424,73.09879428571429,2.7217333333333333,33.726387
COL,51.02135111111111,0.03788707777777778,48.88046777777778,51.05923888888889,3.5493833333333327,29.233347000000002
CRI,40.58065,0.0,59.41935,40.58065,3.358049999999999,29.9079275
CZE,8.221985571428572,11.933322857142857,73.67485928571429,20.124006428571427,1.7684999999999997,33.18299225
DNK,0.075559,8.439047599999999,91.50719,5.651987308333333,1.8448333333333335,45.2606335
ESP,27.825514285714288,3.3815695714285714,72.21076857142857,27.008405,1.8675000000000002,45.1980225
EST,8.180689142857142,8.672982900000001,72.42260166666667,19.251759166666666,1.803,43.145182750000004
FIN,0.02340588571428571,3.6010851428571433,94.25007428571429,3.658943357142857,1.8339999999999996,42.263498999999996
FRA,11.078181428571428,9.778264428571429,78.98023333333333,19.484730833333334,2.0783333333333336,47.19593525
GBR,44.326255714285715,20.949540000000002,30.97703571428571,65.2757957142857,1.9765000000000004,52.5051155
IRL,26.2514125,2.32651975,67.1565425,28.577932500000003,2.6333333333333337,55.8702975
ISL,7.5471008571428575,0.6341990142857143,89.66260307692308,8.385270230769232,2.4320000000000004,41.31894675
ISR,27.672191538461544,17.080055384615385,54.73388357142857,43.72055499999999,3.217316666666667,47.360536499999995
ITA,28.132532857142856,6.338554142857143,67.02529,30.78836357142857,1.6761666666666666,27.78666325
JPN,51.93781666666667,15.754014444444445,32.512488000000005,67.487514,1.6504,60.89044033333334
KOR,43.5357,18.567975,37.89633,62.10367,2.4606500000000007,69.73546424999999
LTU,22.046615833333334,6.367449999999999,68.19422083333333,28.41406583333333,1.8711666666666666,55.64470575
LUX,2.5477948571428572,2.2073256000000003,92.14146428571428,4.755120428571429,1.6746551724137932,54.829644249999994
LVA,26.457045714285716,2.314888614285714,61.65582428571429,31.76687571428572,1.6989999999999996,42.828776250000004
MEX,29.663746428571432,0.3613084538461538,70.02464846153846,29.975353076923074,4.105216666666667,23.6982075
NLD,15.910918571428573,13.237045714285715,69.70729642857142,27.777081428571428,1.9026666666666665,48.89068125
NOR,3.6103632857142856,1.3434866714285714,95.01653416666669,4.658775250000001,2.025666666666667,49.01237125
NZL,33.38321,14.95577,51.54009,48.45991,2.371000000000001,44.419041500000006
POL,19.08173583333333,3.8790464545454544,78.76185142857142,22.637540833333333,1.9086666666666665,43.2420875
PRT,28.705905714285713,5.920370714285714,64.96181785714286,29.07784742857143,1.9985000000000002,37.09666625
RUS,23.57946444444444,11.805619,63.87508545454545,35.39698818181818,1.7750166666666665,62.374052
SVK,13.442008571428572,12.116448142857143,74.93703928571428,22.893308785714286,1.9748333333333334,37.6185915
SVN,11.357910272727274,3.0626532750000006,81.88728833333333,14.3641575,1.7447833333333334,43.702847500000004
SWE,0.7589025857142857,10.224174000000001,86.0486,10.173123214285711,1.8670000000000002,48.106246999999996
TUR,11.045346250000001,13.526773875,74.59941125,24.572122500000003,3.6952166666666666,33.398018666666665
USA,43.66250071428571,18.103755714285715,38.233740714285716,61.76625714285713,2.1213166666666665,49.84174899999999
