Country,2017,2018,2019,2020
ARG,18.388876,39.957542,,
AUS,51.989063,51.393173,52.478458,54.614105
AUT,40.324657,40.458271,41.610401,41.419125
BEL,45.725086,47.397144,47.282982,48.508053
BRA,19.613668,21.314569,21.602325,23.531902
CAN,60.916767,61.754246,62.965115,64.386749
CHE,50.136665,51.206909,52.695705,52.972816
CHL,33.726387,,,
COL,28.106581,28.959703,29.873518,29.993586
CRI,28.004108,27.815552,31.346508,32.465542
CZE,33.821026,33.328793,32.580391,33.001759
DEU,31.308737,32.281734,33.260235,34.876732
DNK,45.537395,45.83231,47.097672,42.575157
ESP,42.644691,44.259609,46.508266,47.379524
EST,43.041157,43.633705,42.760071,43.145798
FIN,41.253643,41.313869,41.820766,44.665718
FRA,44.34428,46.937691,48.052528,49.449242
GBR,51.624851,50.752552,51.809521,55.833538
GRC,42.479965,42.821678,42.406635,43.685429
HUN,30.162258,30.576908,30.589085,30.688835
IDN,16.130028,,,
IRL,53.473541,56.174488,55.44936,58.383801
ISL,42.677822,42.116936,42.176826,38.304203
ISR,48.028301,47.1143,47.04248,47.257065
ITA,26.816479,27.726679,27.744524,28.858971
JPN,60.426178,60.730949,61.514194,
KOR,69.752068,69.574219,69.802818,69.812752
LTU,55.625957,55.581402,55.187374,56.18409
LUX,51.395588,54.780186,54.989532,58.153271
LVA,41.608852,41.648941,43.811146,44.246166
MEX,22.555721,23.359127,23.587111,25.290871
NLD,46.594383,47.603172,49.103264,52.261906
NOR,48.337029,48.211601,48.658932,50.841923
NZL,44.158596,45.811745,43.792194,43.913631
POL,43.526325,43.523716,43.484364,42.433945
PRT,34.031322,35.078072,37.36721,41.910061
RUS,62.657864,62.09024,,
SVK,35.065048,37.208523,39.158154,39.042641
SVN,44.566971,40.713264,44.105736,45.425419
SWE,47.388306,47.530075,48.373196,49.133411
TUR,31.588659,33.280041,35.325356,
USA,47.757,49.373737,50.380188,51.856071
ZAF,14.820914,14.292954,14.487103,14.853134
